product_id,sku,product_name,category,subcategory,brand,unit_price,cost_price
1,ZMCPR5US,Orion Fashion Accessories 1,Fashion,Accessories,Orion,155.49,81.41
2,JRYPGIMF,Aurora Sports Team Sports 2,Sports,Team Sports,Aurora,137.29000000000002,106.48
3,PQLNT9IX,Orion Fashion Shoes 3,Fashion,Shoes,Orion,66.89,34.27
4,WKM3YGO2,ZenX Home Storage 4,Home,Storage,ZenX,178.47,106.06
5,LZ2IASI9,Luna Toys STEM 5,Toys,STEM,Luna,96.44,73.26
6,3ZUWMOKB,Pulse Sports Fitness 6,Sports,Fitness,Pulse,140.82999999999998,109.92
7,WWHCN2H4,Aurora Beauty Skincare 7,Beauty,Skincare,Aurora,155.57,112.07
8,S3MVLWI3,ZenX Toys Action Figures 8,Toys,Action Figures,ZenX,60.27,35.26
9,HFXUYWXH,Nimbus Home Storage 9,Home,Storage,Nimbus,86.62,64.56
10,64EBDML0,Luna Toys Board Games 10,Toys,Board Games,Luna,234.91,165.5
11,6599B3DN,Vertex Home Furniture 11,Home,Furniture,Vertex,148.53,97.55
12,L0W5ZCRR,Vertex Electronics Laptop 12,Electronics,Laptop,Vertex,164.03,127.32
13,UXJY3SCL,Nimbus Toys STEM 13,Toys,STEM,Nimbus,53.42,33.85
14,YVMPAIY7,Nova Books Academic 14,Books,Academic,Nova,113.09,75.27
15,52MF21MS,Vertex Books Comics 15,Books,Comics,Vertex,148.31,89.48
16,19U9RFHL,ZenX Sports Fitness 16,Sports,Fitness,ZenX,118.46,60.72
17,8ICBRP2K,Aurora Home Storage 17,Home,Storage,Aurora,68.42,49.09
18,KHE4NV58,ZenX Electronics Camera 18,Electronics,Camera,ZenX,111.19,59.13
19,RBISN0ML,Orion Toys Action Figures 19,Toys,Action Figures,Orion,238.87,125.91
20,JX6JNGBB,Orion Home Decor 20,Home,Decor,Orion,146.28,82.14
21,CLFOORIF,ZenX Sports Cycling 21,Sports,Cycling,ZenX,185.26,130.35
22,BMLZLVRY,Acme Home Decor 22,Home,Decor,Acme,91.18,46.42
23,AHZIGP81,Pulse Beauty Fragrance 23,Beauty,Fragrance,Pulse,189.52,139.79
24,7Y7UWDA7,Nimbus Beauty Haircare 24,Beauty,Haircare,Nimbus,62.19,34.04
25,OXD89BWG,Luna Toys Action Figures 25,Toys,Action Figures,Luna,133.17000000000002,81.45
26,9VK5UI5X,Vertex Fashion Accessories 26,Fashion,Accessories,Vertex,58.7,44.87
27,GLDNEUXA,Pulse Books Academic 27,Books,Academic,Pulse,90.77,67.39
28,R4HN56S8,ZenX Beauty Haircare 28,Beauty,Haircare,ZenX,180.45,102.8
29,HBEWRRJ4,Acme Toys Action Figures 29,Toys,Action Figures,Acme,67.12,47.25
30,SQJ8PG16,Acme Books Comics 30,Books,Comics,Acme,129.2,81.51
31,PS3L6QSG,Orion Sports Team Sports 31,Sports,Team Sports,Orion,33.2,20.8
32,V2UN2ONA,Orion Beauty Haircare 32,Beauty,Haircare,Orion,45.91,23.46
33,WI5AFWI0,Pulse Electronics Camera 33,Electronics,Camera,Pulse,77.32,48.61
34,DCWRIKB7,Acme Toys STEM 34,Toys,STEM,Acme,107.9,74.19
35,O5GFKTKG,Pulse Toys STEM 35,Toys,STEM,Pulse,94.66,74.22
36,KVP6V72A,ZenX Fashion Mens 36,Fashion,Mens,ZenX,101.78,61.43
37,HNN5PUT0,Luna Electronics Camera 37,Electronics,Camera,Luna,165.88,120.41
38,Q0HUZXC2,Echo Electronics Mobile 38,Electronics,Mobile,Echo,103.98,70.22
39,421H9HN9,Nova Sports Fitness 39,Sports,Fitness,Nova,34.18,19.88
40,CWEUIQGT,Acme Books Comics 40,Books,Comics,Acme,150.66,102.4
41,STPZVAUB,Vertex Fashion Mens 41,Fashion,Mens,Vertex,129.95999999999998,78.62
42,MSQJRCUU,Luna Fashion Shoes 42,Fashion,Shoes,Luna,68.01,41.38
43,5BZU5DLO,Acme Toys Puzzles 43,Toys,Puzzles,Acme,98.25,62.51
44,VLG80S4X,Acme Sports Team Sports 44,Sports,Team Sports,Acme,90.12,57.01
45,FS4FTFAA,Pulse Sports Outdoor 45,Sports,Outdoor,Pulse,177.13,130.1
46,MIQ6PIYR,Nimbus Sports Cycling 46,Sports,Cycling,Nimbus,105.82,76.99
47,BX7YL629,Orion Beauty Fragrance 47,Beauty,Fragrance,Orion,340.34,177.25
48,M3LZSP4E,Orion Fashion Accessories 48,Fashion,Accessories,Orion,107.4,68.59
49,JLT03Q8J,Pulse Electronics Accessories 49,Electronics,Accessories,Pulse,56.760000000000005,28.76
50,LBEHOTYZ,ZenX Fashion Womens 50,Fashion,Womens,ZenX,170.13,85.38
51,NX5UI2U3,Acme Fashion Womens 51,Fashion,Womens,Acme,77.87,55.03
52,B9NEBWTB,Aurora Books Non-Fiction 52,Books,Non-Fiction,Aurora,95.12,66.36
53,WPV4DQQF,Acme Home Storage 53,Home,Storage,Acme,91.87,54.66
54,W1U2WGAE,ZenX Home Decor 54,Home,Decor,ZenX,62.97,47.68
55,JJ2H5UQX,Nova Electronics Laptop 55,Electronics,Laptop,Nova,45.67,29.09
56,HWIADER5,Echo Toys STEM 56,Toys,STEM,Echo,80.19,44.64
57,W4868TYX,Aurora Toys Puzzles 57,Toys,Puzzles,Aurora,128.51999999999998,76.25
58,N9FAJB0M,Echo Toys Puzzles 58,Toys,Puzzles,Echo,67.28999999999999,46.21
59,J46PCAPO,Aurora Books Academic 59,Books,Academic,Aurora,148.2,117.55
60,L9ONTSRC,Luna Beauty Makeup 60,Beauty,Makeup,Luna,134.94,100.58
61,LJSBLW8V,Acme Beauty Makeup 61,Beauty,Makeup,Acme,87.1,45.2
62,VT8YXRTF,Aurora Beauty Skincare 62,Beauty,Skincare,Aurora,139.13,72.16
63,MI3XUW1E,Echo Home Furniture 63,Home,Furniture,Echo,132.38,71.73
64,XUENUXBN,Aurora Books Comics 64,Books,Comics,Aurora,167.51999999999998,127.54
65,320LAHC5,Nimbus Toys STEM 65,Toys,STEM,Nimbus,66.31,52.07
66,1RA4UBJP,Nimbus Toys Action Figures 66,Toys,Action Figures,Nimbus,203.99,152.83
67,Z28NBHH8,Luna Toys Puzzles 67,Toys,Puzzles,Luna,94.59,62.61
68,QTY6PQHA,ZenX Electronics Accessories 68,Electronics,Accessories,ZenX,126.82,66.46
69,FAOM3X64,Nimbus Electronics Mobile 69,Electronics,Mobile,Nimbus,72.93,39.98
70,30D3IYBK,ZenX Fashion Accessories 70,Fashion,Accessories,ZenX,73.19,46.41
71,N5YE38E8,Acme Sports Team Sports 71,Sports,Team Sports,Acme,75.27,59.67
72,DHWZ2PT1,Luna Sports Cycling 72,Sports,Cycling,Luna,105.61,82.27
73,84J0XBP0,ZenX Fashion Shoes 73,Fashion,Shoes,ZenX,120.09,90.05
74,V9Y3GXCZ,Nova Toys Board Games 74,Toys,Board Games,Nova,135.3,95.46
75,JM9AIZEA,Nimbus Sports Team Sports 75,Sports,Team Sports,Nimbus,118.23,74.35
76,D3VZ5PT3,ZenX Sports Cycling 76,Sports,Cycling,ZenX,43.06,21.56
77,GUER98ZS,Vertex Home Storage 77,Home,Storage,Vertex,145.29000000000002,83.25
78,ORJY5NT7,Echo Beauty Haircare 78,Beauty,Haircare,Echo,124.16,78.3
79,OMU2L7A4,Echo Beauty Haircare 79,Beauty,Haircare,Echo,52.43,41.37
80,NAQLTWMX,Nimbus Books Fiction 80,Books,Fiction,Nimbus,60.8,39.87
81,9XIA2I98,Luna Fashion Accessories 81,Fashion,Accessories,Luna,72.81,44.34
82,HIPUARBQ,ZenX Beauty Skincare 82,Beauty,Skincare,ZenX,72.2,50.05
