spend_id,date_key,campaign_id,channel_id,impressions,clicks,spend
1,20250101,1,1,870,27,19.71
2,20250102,1,1,1529,38,43.06
3,20250103,1,1,2031,62,66.98
4,20250104,1,1,900,20,19.55
5,20250105,1,1,734,33,37.54
6,20250106,1,1,2406,71,40.89
7,20250107,1,1,1393,30,30.88
8,20250108,1,1,1622,60,28.19
9,20250109,1,1,2350,32,32.89
10,20250110,1,1,1394,38,33.41
11,20250111,1,1,2047,53,22.92
12,20250112,1,1,2074,51,27.07
13,20250113,1,1,2506,94,42.14
14,20250114,1,1,2180,44,13.6
15,20250115,1,1,1378,56,53.24
16,20250116,1,1,1312,16,13.64
17,20250117,1,1,821,25,12.38
18,20250118,1,1,854,26,22.86
19,20250119,1,1,2020,102,80.68
20,20250120,1,1,1357,28,18.9
21,20250121,1,1,1676,66,47.38
22,20250122,1,1,1622,31,24.22
23,20250123,1,1,938,19,13.77
24,20250124,1,1,2309,30,15.6
25,20250125,1,1,1084,51,20.93
26,20250126,1,1,2262,30,28.78
27,20250127,1,1,2825,85,39.71
28,20250128,1,1,974,38,26.95
29,20250129,1,1,1226,33,11.2
30,20250130,1,1,1417,28,26.53
31,20250131,1,1,1826,35,14.67
32,20250201,1,1,2040,64,24.3
33,20250202,1,1,1160,41,36.86
34,20250203,1,1,2624,118,124.33
35,20250204,1,1,803,29,22.21
36,20250205,1,1,2562,61,49.52
37,20250206,1,1,1483,63,51.31
38,20250207,1,1,1376,19,20.3
39,20250208,1,1,912,16,16.33
40,20250209,1,1,1516,70,46.34
41,20250210,1,1,1233,41,17.12
42,20250211,1,1,1504,42,36.83
43,20250212,1,1,823,31,27.57
44,20250213,1,1,2106,78,73.79
45,20250214,1,1,2048,101,61.08
46,20250215,1,1,1404,65,43.26
47,20250216,1,1,1174,58,58.16
48,20250217,1,1,2613,46,37.03
49,20250218,1,1,2865,72,27.77
50,20250219,1,1,1337,47,21.19
51,20250220,1,1,2145,101,49.36
52,20250221,1,1,1451,49,14.75
53,20250222,1,1,1722,41,35.01
54,20250223,1,1,1537,28,32.73
55,20250224,1,1,981,29,22.28
56,20250225,1,1,2029,68,48.14
57,20250226,1,1,2805,44,13.59
58,20250227,1,1,1754,84,83.76
59,20250228,1,1,1990,26,24.53
60,20250301,1,1,2058,70,44.66
61,20250302,1,1,2070,88,93.19
62,20250303,1,1,2775,138,50.24
63,20250304,1,1,1847,30,35.07
64,20250305,1,1,2882,108,72.18
65,20250306,1,1,1611,60,65.04
66,20250307,1,1,1244,47,56.25
67,20250308,1,1,992,27,10.11
68,20250309,1,1,1930,68,29.26
69,20250310,1,1,1515,19,10.73
70,20250311,1,1,1085,12,10.67
71,20250312,1,1,2284,99,81.99
72,20250313,1,1,879,20,20.29
73,20250314,1,1,2198,98,56.67
74,20250315,1,1,1862,54,50.47
75,20250316,1,1,1168,28,28.14
76,20250317,1,1,1384,17,8.37
77,20250318,1,1,2607,56,18.73
78,20250319,1,1,1781,55,36.3
79,20250320,1,1,1684,27,20.82
80,20250321,1,1,2493,95,102.95
81,20250322,1,1,2013,45,37.02
82,20250323,1,1,778,33,28.53
83,20250324,1,1,2800,31,21.25
84,20250325,1,1,1909,83,80.44
85,20250326,1,1,2347,91,63.05
86,20250327,1,1,2396,25,25.32
87,20250328,1,1,1234,22,21.78
88,20250329,1,1,2210,35,26.33
89,20250330,1,1,2370,108,120.43
90,20250331,1,1,1716,73,83.1
91,20250401,2,1,2642,120,109.63
92,20250402,2,1,1007,31,26.61
93,20250403,2,1,2570,113,42.76
94,20250404,2,1,1357,51,29.15
95,20250405,2,1,1084,27,16.92
96,20250406,2,1,1590,74,41.47
97,20250407,2,1,1456,30,24.61
98,20250408,2,1,856,28,33.54
99,20250409,2,1,1252,17,15.02
100,20250410,2,1,2442,119,108.73
101,20250411,2,1,1207,28,19.23
102,20250412,2,1,980,38,26.09
103,20250413,2,1,1605,56,40.09
104,20250414,2,1,2089,24,10.13
105,20250415,2,1,2794,41,20.96
106,20250416,2,1,1820,56,18.03
107,20250417,2,1,2288,78,31.36
108,20250418,2,1,2755,39,33.45
109,20250419,2,1,910,41,18.43
110,20250420,2,1,1622,45,23.2
