order_item_id,order_id,product_id,quantity,unit_price,line_revenue,line_cost
1,1,320,1,62.91,62.91,34.08
2,1,423,1,95.25,95.25,67.39
3,2,196,1,141.05,141.05,77.1
4,3,561,1,101.49000000000001,101.49,69.16
5,3,576,1,180.89,180.89,105.6
6,4,316,1,152.78,152.78,100.93
7,4,437,1,127.46,127.46,80.47
8,5,895,1,94.97999999999999,94.98,72.89
9,5,520,1,139.36,139.36,77.37
10,6,42,1,68.01,68.01,41.38
11,6,742,1,107.12,107.12,71.21
12,7,22,3,91.18,273.54,139.26
13,7,328,1,179.67,179.67,97.03
14,8,928,1,90.95,90.95,50.59
15,8,285,1,128.9,128.9,80.15
16,8,267,1,106.33,106.33,55.62
17,9,925,1,78.25,78.25,47.29
18,9,252,1,172.37,172.37,106.18
19,10,340,1,132.16,132.16,100.69
20,10,478,1,80.64,80.64,41.72
21,11,229,1,67.94,67.94,39.85
22,11,360,1,89.27,89.27,61.39
23,11,52,1,95.12,95.12,66.36
24,12,250,1,106.58,106.58,83.11
25,12,111,1,155.01,155.01,107.03
26,12,662,1,116.01,116.01,72.9
27,13,790,1,81.65,81.65,46.9
28,13,179,1,94.64,94.64,63.23
29,13,6,1,140.82999999999998,140.83,109.92
30,13,725,1,88.85,88.85,49.09
31,14,640,1,93.42,93.42,57.92
32,14,157,1,67.95,67.95,47.49
33,15,641,2,114.84,229.68,132.8
34,15,401,1,69.0,69.0,46.76
35,16,184,1,143.98,143.98,95.57
36,16,362,1,93.9,93.9,71.78
37,17,355,1,120.95,120.95,74.37
38,17,380,1,100.43,100.43,70.96
39,17,542,1,121.91,121.91,86.87
40,18,198,1,157.66,157.66,97.65
41,18,799,1,136.19,136.19,69.42
42,18,890,1,156.0,156.0,100.58
43,18,777,1,136.15,136.15,104.89
44,18,208,1,95.7,95.7,48.32
45,18,719,1,164.28,164.28,95.35
46,19,156,1,107.03999999999999,107.04,73.05
47,19,642,1,23.71,23.71,17.75
48,20,315,1,140.42000000000002,140.42,98.01
49,20,388,1,45.94,45.94,36.51
50,21,634,1,167.99,167.99,85.48
51,21,289,1,162.5,162.5,89.4
52,22,857,2,133.14,266.28,169.4
53,22,684,1,159.99,159.99,123.93
54,22,464,1,98.69,98.69,59.63
55,23,753,1,133.1,133.1,81.25
56,23,631,1,94.12,94.12,64.42
57,23,929,1,167.98000000000002,167.98,134.24
58,24,329,1,80.03999999999999,80.04,48.13
59,24,870,1,60.22,60.22,35.25
60,25,598,1,205.19,205.19,128.27
61,25,347,1,148.39,148.39,101.48
62,26,295,2,76.32,152.64,89.34
63,26,455,1,237.38,237.38,124.94
64,27,967,1,147.29,147.29,78.89
65,27,621,1,64.3,64.3,38.88
66,27,953,1,112.56,112.56,62.87
67,27,656,1,105.4,105.4,79.67
68,28,589,1,95.62,95.62,60.57
69,28,948,1,104.83,104.83,56.14
70,28,64,1,167.51999999999998,167.52,127.54
71,28,42,1,68.01,68.01,41.38
72,28,632,1,132.8,132.8,102.61
73,29,693,1,84.84,84.84,43.45
74,30,638,1,88.74000000000001,88.74,59.49
75,30,714,1,99.6,99.6,64.8
76,30,734,1,139.11,139.11,93.43
77,30,534,1,77.6,77.6,40.86
78,31,487,1,98.88,98.88,71.28
79,31,854,1,173.33,173.33,119.4
80,32,14,1,113.09,113.09,75.27
81,32,902,3,149.03,447.09,265.23
82,32,978,1,115.58,115.58,88.86
83,33,831,1,90.13,90.13,67.11
84,34,4,3,178.47,535.41,318.18
