order_id,order_date_key,customer_id,order_status,discount_amount,shipping_fee,order_revenue,order_cost
1,20240530,4488,Completed,0,0.0,158.16,101.47
2,20240311,4067,Completed,15,6.99,133.04000000000002,77.1
3,20250212,2244,Completed,20,0.0,262.38,174.76
4,20251115,21,Completed,5,0.0,275.24,181.4
5,20240210,1657,Completed,0,4.99,239.33000000000004,150.26
6,20250920,3342,Completed,5,4.99,175.12,112.59
7,20240803,783,Completed,0,0.0,453.21000000000004,236.29
8,20240917,4013,Completed,0,0.0,326.18,186.36
9,20250315,4798,Completed,10,9.99,250.61,153.47
10,20240615,3370,Completed,10,9.99,212.79000000000002,142.41
11,20250603,551,Completed,0,4.99,257.32,167.6
12,20241130,2072,Completed,0,0.0,377.59999999999997,263.04
13,20241111,1044,Completed,0,0.0,405.97,269.14
14,20250601,1827,Completed,0,9.99,171.36,105.41
15,20250410,1854,Completed,0,0.0,298.68,179.56
16,20241207,103,Completed,20,4.99,222.87,167.35
17,20241118,3974,Cancelled,0,4.99,348.28000000000003,232.2
18,20250209,1084,Completed,5,0.0,840.98,516.21
19,20240520,2215,Completed,15,0.0,115.75,90.8
20,20250924,2631,Completed,0,4.99,191.35,134.52
21,20250519,3618,Completed,0,6.99,337.48,174.88
22,20250405,4362,Completed,20,4.99,509.95000000000005,352.96000000000004
23,20250622,611,Completed,10,0.0,385.2,279.91
24,20250618,974,Completed,0,4.99,145.25,83.38
25,20241210,2901,Completed,0,6.99,360.57,229.75
26,20240728,3315,Completed,10,6.99,387.01,214.28
27,20240419,1453,Completed,0,6.99,436.54,260.31
28,20240110,4472,Cancelled,0,4.99,573.77,388.24
29,20250512,163,Completed,10,0.0,74.84,43.45
30,20240329,4180,Completed,10,6.99,402.03999999999996,258.58000000000004
31,20240516,1778,Completed,0,0.0,272.21000000000004,190.68
32,20251102,2524,Returned,15,9.99,670.75,429.36
33,20251225,3830,Completed,0,9.99,100.11999999999999,67.11
34,20241228,3774,Completed,0,0.0,693.99,434.14
35,20240102,1242,Returned,15,4.99,361.07,240.20000000000002
36,20250626,4777,Returned,0,4.99,196.89000000000001,110.96000000000001
37,20250802,703,Completed,20,0.0,294.78999999999996,189.01
38,20250108,3429,Completed,0,0.0,99.89,74.66
39,20240909,3246,Completed,20,4.99,95.00999999999999,73.16
40,20250906,3770,Completed,15,4.99,194.08,139.3
41,20241029,3891,Completed,15,0.0,229.28,156.19
42,20240127,3269,Completed,0,0.0,215.52,141.71
43,20250119,1492,Completed,5,0.0,48.78,30.45
44,20250323,408,Completed,0,9.99,296.18,165.81
45,20241114,2380,Completed,20,4.99,390.64,253.67
46,20250105,3901,Completed,0,0.0,237.05,130.63
47,20250921,1406,Completed,0,4.99,282.67,210.2
48,20240428,2943,Completed,20,4.99,459.24,272.71
49,20251111,496,Completed,5,4.99,519.6700000000001,358.97
50,20240823,1876,Completed,15,0.0,179.15,139.88
51,20240509,4264,Completed,0,0.0,142.84,97.0
52,20250526,2100,Completed,0,0.0,390.22,269.92
53,20240404,2854,Completed,0,0.0,686.0699999999999,442.19
54,20240504,929,Completed,0,0.0,217.88,145.43
55,20241119,2133,Completed,20,0.0,552.85,356.9
56,20250308,2378,Completed,0,0.0,407.98,260.64
57,20240221,3743,Completed,20,9.99,246.90000000000003,160.95000000000002
58,20240519,4749,Completed,0,6.99,335.11,178.34
59,20240217,2243,Completed,20,0.0,136.0,100.58
60,20250908,1455,Completed,10,0.0,343.03000000000003,239.43
61,20250711,1885,Completed,5,0.0,507.53999999999996,297.5
62,20240828,3742,Completed,0,4.99,146.43,91.25
63,20250519,1189,Completed,0,0.0,298.07,178.92000000000002
64,20251019,2714,Completed,0,0.0,186.82,142.20999999999998
65,20240329,4874,Completed,20,0.0,41.21,41.63
66,20250105,4232,Completed,0,6.99,301.06,168.06
67,20250905,744,Completed,0,0.0,379.27,224.70000000000002
68,20251215,465,Completed,20,4.99,377.27000000000004,266.37
69,20240508,4725,Completed,0,9.99,383.94,241.7
70,20250813,4721,Completed,0,0.0,143.28,110.48
71,20250708,175,Completed,0,4.99,449.07000000000005,287.76
72,20240609,3102,Completed,5,4.99,374.11,241.4
73,20251018,2833,Completed,0,4.99,465.04999999999995,259.78
74,20250726,2461,Completed,20,0.0,190.01,130.57
75,20241124,2640,Completed,0,0.0,83.2,53.82
76,20241123,1761,Completed,0,0.0,381.14,226.57999999999998
77,20240805,2092,Completed,0,4.99,292.74,171.85999999999999
78,20250424,3929,Completed,0,6.99,455.54,291.87
79,20250602,364,Completed,0,0.0,141.44,77.12
80,20240824,4729,Completed,20,0.0,288.38,228.3
81,20251208,3813,Completed,10,4.99,351.62,208.31
82,20240908,4323,Cancelled,0,4.99,393.12,205.92
83,20240709,3412,Completed,0,0.0,310.81,184.07
84,20251209,3981,Completed,0,0.0,360.27,254.72
85,20250730,2368,Completed,20,6.99,50.14,42.97
86,20250306,679,Completed,20,0.0,393.19,254.06
87,20250225,2073,Completed,20,4.99,177.9,128.05
88,20250704,211,Completed,0,6.99,316.95,178.86
89,20240325,3711,Completed,10,0.0,107.1,76.51
90,20250404,4430,Completed,0,0.0,418.15,280.81
91,20250506,2572,Completed,0,6.99,439.65000000000003,281.34
92,20240703,3195,Returned,10,4.99,320.41,188.64000000000001
93,20250921,261,Completed,20,0.0,272.92,177.82
94,20250606,2331,Completed,0,9.99,432.98,305.07
95,20240812,2380,Completed,5,4.99,100.83,67.32
96,20250406,3480,Completed,20,4.99,298.1,210.94
97,20240427,1116,Completed,20,0.0,428.15,256.98
98,20240703,1717,Completed,20,0.0,71.72,59.13
99,20250722,928,Completed,0,0.0,317.49,178.62
100,20250120,162,Completed,0,4.99,319.35,222.91
101,20251204,2175,Completed,10,4.99,81.13,47.39
102,20250210,3879,Completed,0,0.0,799.2,595.1
103,20240930,3239,Completed,20,0.0,282.59000000000003,197.46
104,20240507,1373,Completed,0,4.99,140.09,106.39
105,20250330,1477,Completed,0,4.99,270.47,193.28
106,20250709,4899,Completed,15,0.0,787.8100000000001,493.49
107,20250406,2274,Completed,0,6.99,579.71,348.32
108,20240131,4939,Completed,0,6.99,120.33,58.5
109,20240406,409,Completed,20,6.99,385.0,227.14
110,20250619,3151,Completed,15,9.99,203.58,134.74
111,20241125,3457,Completed,10,0.0,247.22000000000003,166.82
112,20240921,208,Completed,10,0.0,145.66,81.58
113,20250115,4077,Completed,0,0.0,183.76,116.78
114,20250525,3265,Completed,10,6.99,328.23,207.88
115,20250324,3649,Completed,0,0.0,266.53000000000003,181.81
116,20250409,1106,Completed,0,0.0,496.02,346.65
117,20251030,265,Completed,10,6.99,433.15000000000003,316.04
118,20240716,2154,Cancelled,5,0.0,102.12,71.21
119,20250125,2802,Completed,0,0.0,103.98,70.22
120,20240517,784,Completed,5,0.0,446.28,255.67
121,20250108,4167,Completed,15,4.99,509.33000000000004,316.28999999999996
122,20250502,1210,Completed,0,0.0,284.55,203.2
123,20250402,753,Completed,0,9.99,705.0,468.96000000000004
124,20240213,3419,Completed,15,4.99,332.14,233.2
125,20250222,3289,Completed,0,0.0,313.77,221.22
126,20250321,3994,Completed,5,0.0,323.87,185.26999999999998
127,20250228,735,Completed,0,0.0,537.56,392.13
128,20250306,3607,Completed,15,0.0,86.55,56.88
129,20251101,3637,Completed,10,4.99,308.18,197.17
130,20240206,710,Completed,0,0.0,133.51,96.65
131,20250406,1875,Completed,15,4.99,82.17,48.13
132,20250510,3116,Completed,10,0.0,329.08,208.81
133,20240621,4578,Completed,15,9.99,250.53,159.14
134,20251116,3415,Completed,15,0.0,219.17000000000002,153.95
135,20251122,1253,Completed,15,0.0,271.13,169.01999999999998
136,20250708,2031,Completed,0,9.99,257.75,168.53
137,20250411,3310,Completed,0,0.0,500.1,340.08
138,20240127,2227,Completed,20,4.99,221.19,139.64
139,20250325,12,Completed,0,0.0,412.77,256.03999999999996
140,20240726,940,Completed,0,0.0,26.47,19.5
141,20250316,2179,Returned,0,0.0,291.88,178.34
142,20240416,669,Completed,0,0.0,387.39,248.03000000000003
143,20250311,344,Completed,20,0.0,192.12,149.67000000000002
144,20251106,1858,Completed,15,9.99,428.24,278.01
145,20250717,2903,Completed,0,4.99,216.72,147.82
146,20251015,2919,Completed,0,0.0,208.3,147.26
147,20241112,1658,Completed,0,0.0,99.85,51.48
148,20251225,1919,Completed,0,9.99,653.52,385.28
149,20251031,855,Completed,5,0.0,302.21000000000004,217.82999999999998
150,20241118,2820,Completed,5,4.99,183.49,119.56
151,20240304,196,Completed,5,0.0,419.13,289.68
152,20250918,4050,Completed,20,6.99,610.52,408.61
