event_id,session_id,customer_id,date_key,channel_id,campaign_id,page,event_type,device,region
1,S00000001,,20250101,1,1,visit,visit,Mobile,New York
2,S00000001,552.0,20250101,1,1,product_view,product_view,Mobile,New York
3,S00000002,548.0,20250101,1,1,visit,visit,Mobile,Dallas
4,S00000002,548.0,20250101,1,1,product_view,product_view,Mobile,Dallas
5,S00000003,2212.0,20250101,1,1,visit,visit,Mobile,Denver
6,S00000003,2212.0,20250101,1,1,product_view,product_view,Mobile,Denver
7,S00000003,,20250101,1,1,add_to_cart,add_to_cart,Mobile,Denver
8,S00000004,4480.0,20250101,1,1,visit,visit,Mobile,Denver
9,S00000004,4480.0,20250101,1,1,product_view,product_view,Mobile,Denver
10,S00000004,,20250101,1,1,add_to_cart,add_to_cart,Mobile,Denver
11,S00000005,3585.0,20250101,1,1,visit,visit,Desktop,Austin
12,S00000005,3585.0,20250101,1,1,product_view,product_view,Desktop,Austin
13,S00000005,,20250101,1,1,add_to_cart,add_to_cart,Desktop,Austin
14,S00000006,890.0,20250101,1,1,visit,visit,Tablet,Seattle
15,S00000006,,20250101,1,1,product_view,product_view,Tablet,Seattle
16,S00000006,890.0,20250101,1,1,add_to_cart,add_to_cart,Tablet,Seattle
17,S00000006,890.0,20250101,1,1,checkout,checkout,Tablet,Seattle
18,S00000007,3791.0,20250101,1,1,visit,visit,Mobile,Seattle
19,S00000008,,20250101,1,1,visit,visit,Desktop,Miami
20,S00000008,781.0,20250101,1,1,product_view,product_view,Desktop,Miami
21,S00000009,486.0,20250101,1,1,visit,visit,Desktop,Boston
22,S00000009,,20250101,1,1,product_view,product_view,Desktop,Boston
23,S00000010,3530.0,20250101,1,1,visit,visit,Mobile,Boston
24,S00000011,1565.0,20250101,1,1,visit,visit,Desktop,Denver
25,S00000011,1565.0,20250101,1,1,product_view,product_view,Desktop,Denver
26,S00000012,,20250101,2,3,visit,visit,Desktop,Denver
27,S00000012,2679.0,20250101,2,3,product_view,product_view,Desktop,Denver
28,S00000012,2679.0,20250101,2,3,add_to_cart,add_to_cart,Desktop,Denver
29,S00000013,28.0,20250101,2,3,visit,visit,Tablet,Miami
30,S00000013,28.0,20250101,2,3,product_view,product_view,Tablet,Miami
